,sub,hemi,AssessmentAge,MatrixR,central,ifs,imfs_h,imfs_v,iprs,pimfs,pmfs_a,pmfs_i,pmfs_p,sfs_a,sfs_p,sprs
2,n004t2,rh,17.07,30,0.233273923,0.11129839,0.238285959,0.18164745,0.263747305,0.037867,0.185809895,0.326217622,-0.025762085,0.188824311,0.242705181,0.232026294
3,n005t1,rh,17.93,26,0.241982132,0.243302613,0.0191104,0.296000928,0.223550439,-0.02906728,-0.16742608,0.068144195,-0.18293269,0.251666307,0.349947244,0.102832764
4,n009t3,rh,18.43,33,0.256822288,0.147808686,0.1435868,0.155055255,0.239268139,0.179513529,0.396280825,0.343249887,0.037677988,0.186163366,0.243961617,0.259027839
5,n017t1,rh,16.23,25,0.202112168,0.253829598,0.197413713,0.080179714,0.269195527,-0.014818385,0.170172244,-0.058585301,0.163827062,0.160604566,0.3020944,0.265130073
6,n021t1,rh,16.59,31,0.20257704,0.189551502,0.157549903,0.167629406,0.190102011,0.110539138,0.11524266,0.242258593,0.213802069,0.123805605,0.19692038,0.241223693
7,n033t1,rh,9.78,27,0.208328143,0.282077968,0.125559285,0.210642904,0.186217159,0.153507158,-0.148686752,0.118320949,-0.127858788,0.244197667,0.312657714,0.249060884
8,n034t1,rh,17.81,28,0.213670373,0.26104784,0.158630997,-0.027292438,0.227228522,0.175031766,-0.159090355,0.194407418,0.204382986,0.238973632,0.161367789,0.338558763
9,n036t2,rh,15.3,26,0.21208024,0.252410442,0.215880319,0.22721231,0.247250378,0.154142231,-0.319206208,-0.006971444,-0.114000954,0.220594376,0.328163922,0.270760864
11,n049t1,rh,13.63,26,0.199739218,-0.067585729,0.340813518,0.078764394,0.261065453,-0.128500879,-0.014623834,0.128879979,-0.167229429,0.22897923,0.240533561,0.241245389
12,n055t1,rh,11.41,29,0.226687431,0.189659238,-0.064286403,0.160797641,0.232876465,-0.033807907,0.227570429,0.351904184,0.106842481,-0.068412371,0.293738633,0.147785187
13,n062t1,rh,7.69,26,0.148523167,0.156428441,0.26410678,0.291843086,0.262183845,0.036692116,0.251789004,0.12225914,-0.227847651,0.309953183,0.245201096,0.212709934
14,n070t1,rh,7.28,21,0.207032025,0.218321204,0.173931673,0.285308391,0.280822456,0.0218779,0.083494537,-0.098257303,-0.156329647,0.186036944,0.299076021,-0.004227167
15,n072t2,rh,15.63,27,0.224126399,0.270217925,0.262656927,0.199688464,0.183602601,0.063101314,0.06454999,0.06454999,0.112403259,0.179244161,0.179173902,0.277899921
16,n077t1,rh,6.54,26,0.174441755,0.207379043,0.229701817,0.158559382,0.173577607,0.056210753,0.064887255,0.082619704,-0.226742327,0.271012187,0.195106342,0.257925302
17,n088t1,rh,10.52,21,0.106143117,0.26428014,0.203504056,0.193800211,0.242418453,0.070007034,0.27340588,0.251663834,0.244497821,0.106370024,0.323436677,0.216683045
19,n097t1,rh,11.25,29,0.222775877,0.199596956,0.141608283,0.167194128,0.189323053,0.341498792,0.137031272,0.123443604,0.025300791,0.142265171,0.244716078,0.166406289
21,n101t1,rh,11.14,19,0.222799525,0.115481965,0.102544211,0.285051554,0.223236665,-0.049184378,0.124981463,0.421858549,0.275157601,0.157968208,0.283093721,0.281045973
22,n104t1,rh,6.97,15,0.197324738,0.205008924,0.111928977,0.219895095,0.256697536,-0.258096576,0.208319291,-0.016039666,-0.377914816,0.280019194,0.262874633,0.255345523
24,n114t1,rh,18.62,27,0.245429009,0.201953158,0.136848137,0.203944519,0.266061693,-0.233593464,0.063073747,0.294932753,0.09510731,0.228963092,0.156077698,0.199889719
25,n115t1,rh,10.95,30,0.190242529,0.216738984,0.152246654,0.001594703,0.256685317,0.226280585,-0.198417574,0.140962645,-0.171382487,0.347621739,0.302624047,0.248280987
26,n116t1,rh,13.73,28,0.228524417,0.158362955,0.152287394,0.155207276,0.278702289,0.135198027,0.349734396,0.132691503,-0.017291965,0.125120804,0.236458898,0.162873089
27,n120t1,rh,12.6,21,0.171641827,0.185390085,0.111794315,0.249723226,0.160217226,0.000408054,0.053822774,-0.113270335,0.073463537,0.18313323,0.270008802,0.266109318
28,n139t1,rh,14.31,30,0.213432699,0.139778271,0.258063883,0.20860365,0.366915613,-0.06008786,-0.07149215,0.122289613,-0.061614726,0.244875029,0.191891968,0.263326764
29,n175t1,rh,8.42,12,0.152197063,0.17618686,-0.019444115,0.096183643,0.162821993,-0.007675975,0.276057929,0.117291808,-0.184129611,0.246486306,0.243315786,0.288057894
30,n185t1,rh,11.54,22,0.219983041,0.184320599,0.206123963,0.238951549,0.322077096,-0.051641107,0.292143106,0.348779708,0.150679305,0.135437936,0.26905936,0.243379399
31,n193t1,rh,9.44,21,0.237022638,0.222456366,0.258938819,0.097783424,0.219950184,-0.067218937,0.18308413,-0.129553407,0.204224363,0.146355331,0.294927031,0.240849793
32,n196t1,rh,6.44,21,0.175034449,0.204189003,0.297903657,0.266595811,0.244062468,-0.03253511,0.014365605,0.248267069,0.042774223,0.247509629,0.290607601,0.256411523
33,n198t1,rh,10.31,25,0.200756088,0.145313993,0.291711479,0.234992594,0.270596683,0.074038625,0.202187106,-0.080854267,-0.226445988,0.267392039,0.234551609,0.201472923
2,n004t2,lh,17.07,30,0.240453184,0.228904352,0.223882526,0.114326067,0.305075794,0.179202095,0.001715396,0.144052282,-0.121669784,0.356043041,0.199339837,0.223199606
3,n005t1,lh,17.93,26,0.208515316,0.234973818,0.200754479,0.132217869,-0.037035573,-0.145496473,-0.071648687,-0.023959145,-0.08806587,0.162074596,0.280738026,0.133979023
4,n009t3,lh,18.43,33,0.250987113,0.163866356,0.34020704,0.213796511,0.300192714,0.032756414,-0.187770978,-0.042911198,-0.298066437,0.323146045,0.27547428,0.250800461
5,n017t1,lh,16.23,25,0.195566505,0.157945141,0.2974177,0.185859874,0.375380605,-0.192879155,-0.099373288,-0.052438218,0.173689082,0.251754224,0.213390976,0.227053404
6,n021t1,lh,16.59,31,0.191403285,0.231704444,0.254597485,0.178591534,0.285213649,0.050539281,-0.066677816,0.195787489,-0.114581682,0.253944308,0.23961699,0.243234724
7,n033t1,lh,9.78,27,0.201834887,0.186456516,0.374888957,0.197868586,0.193500027,-0.139618918,-0.129436165,0.298308343,-0.231645271,0.142993182,0.290755421,0.247018918
8,n034t1,lh,17.81,28,0.23618947,0.226436019,0.248022273,0.189231753,0.204118833,-0.076095752,0.329505891,0.07725694,-0.060858984,0.174249783,0.34392789,0.335430562
9,n036t2,lh,15.3,26,0.219086558,0.209248722,0.220807433,0.216514498,0.174324602,-0.067163832,-0.136060357,-0.265227199,-0.269172907,0.214571774,0.365559995,0.241174549
11,n049t1,lh,13.63,26,0.193898991,0.252641916,0.112696588,0.176045388,0.288396686,0.218884245,-0.095977515,0.150644913,-0.364872247,0.262334794,0.183057159,0.248576447
12,n055t1,lh,11.41,29,0.227086902,0.21656777,0.246723562,0.13095139,0.252753884,0.063238248,0.227986157,0.315788895,0.165826708,0.063238248,0.257067293,0.245587379
13,n062t1,lh,7.69,26,0.23988454,0.231059611,0.200515047,0.349490106,0.179071188,-0.082910754,-0.21909906,-0.04612866,-0.142155796,0.307073981,0.251318246,0.217628583
14,n070t1,lh,7.28,21,0.219649509,0.274371654,0.285084307,0.331951678,0.279064447,-0.133007675,-0.100582317,0.008496341,-0.249037936,0.163990945,0.333414942,0.18427068
15,n072t2,lh,15.63,27,0.235517219,0.23161824,0.253668219,0.367420822,0.283539772,-0.011084797,-0.029812686,-0.075475842,0.02657342,0.304348439,0.220017835,0.21405758
16,n077t1,lh,6.54,26,0.206962541,0.193458766,0.336403161,0.261356115,0.207854569,0.167163461,0.115852468,-0.164875537,0.055911671,0.223220527,0.27924034,0.263140053
17,n088t1,lh,10.52,21,0.235618472,0.16722621,0.210684493,0.210758448,0.17798461,0.289964497,0.267062426,0.266219229,0.345198333,0.11960382,0.19812946,0.315860152
19,n097t1,lh,11.25,29,0.221353576,0.14960666,0.162719578,0.256680012,0.277655154,-0.016962407,-0.063898668,0.224458784,0.093966924,0.245267347,0.230010077,0.140351757
21,n101t1,lh,11.14,19,0.22779049,0.250764102,0.306592584,0.22085458,0.257595986,-0.017851861,0.22134909,0.138564691,0.102147222,0.219629705,0.360569507,0.259127438
22,n104t1,lh,6.97,15,0.221821845,0.185771644,0.196085021,0.162405163,0.355259359,-0.130251616,0.114889637,0.002359343,0.031907976,0.105516426,0.307603538,0.253994972
24,n114t1,lh,18.62,27,0.242448032,0.169672117,0.360620886,0.196674779,0.282836914,-0.062017001,-0.019959996,0.127090886,0.186614275,0.076069459,0.270037889,0.172576666
25,n115t1,lh,10.95,30,0.247797981,0.228144974,0.276032597,0.265910059,0.320969313,0.370244801,-0.183713034,-0.082480066,-0.131856263,0.306560099,0.315063417,0.224629626
26,n116t1,lh,13.73,28,0.21896407,0.165104374,0.196386531,0.041117858,0.28625074,-0.013866991,0.400871813,-0.043837193,-0.063804135,0.013036843,0.232139185,0.228811726
27,n120t1,lh,12.6,21,0.185247883,0.137512654,0.216012746,0.064885952,0.309710473,0.062667638,0.309118927,0.301476628,-0.032718088,0.204194367,0.307040721,0.289639771
28,n139t1,lh,14.31,30,0.160368681,0.048803356,0.209425211,0.224334672,0.305224895,0.072545819,0.312167048,0.161329567,0.148006335,0.204402924,0.222651213,0.276416719
29,n175t1,lh,8.42,12,0.195730552,0.208809003,0.310160905,0.159030512,0.259042084,-0.089945614,0.071223147,-0.072030686,0.058946576,0.240880847,0.22625798,0.256771922
30,n185t1,lh,11.54,22,0.244997472,0.152089998,0.209758833,0.204410344,0.195254028,0.091810264,0.328641206,0.186395764,-0.066641405,0.091508009,0.219537854,0.285998076
31,n193t1,lh,9.44,21,0.199195638,0.209601194,0.213469043,0.253228247,0.285165042,-0.049923502,0.092158049,-0.155729786,-0.112332284,0.303627193,0.061084174,0.286395848
32,n196t1,lh,6.44,21,0.205645233,0.267446041,0.25713712,0.264937609,0.305680305,0.006191514,-0.134569362,0.001459862,0.05089562,0.226418778,0.297247261,0.275547832
33,n198t1,lh,10.31,25,0.20932281,0.209175169,0.067381509,-0.028938549,0.18750973,0.332258552,0.021286314,0.203433648,-0.281984627,0.253033519,0.220339507,0.311486602