,sub,hemi,label,norm_mean_sulcal_depth,mean_cortical_thickness,type
323,n078t2,lh,pimfs,0.145318344,2.087,Tertiary
351,n078t2,rh,pmfs_a,0.167179301,2.086,Tertiary
379,n078t2,lh,pmfs_a,0.113225579,2.263,Tertiary
407,n078t2,rh,pmfs_i,-0.328328222,3.329,Tertiary
435,n078t2,lh,pmfs_i,0.157031178,2.13,Tertiary
463,n078t2,rh,pmfs_p,-0.132090449,1.821,Tertiary
491,n078t2,lh,pmfs_p,-0.048647851,2.343,Tertiary
519,n078t2,rh,sfs_a,0.204320148,2.372,Non-Tertiary
547,n078t2,lh,sfs_a,0.192090005,2.168,Non-Tertiary
575,n078t2,rh,sfs_p,0.251149297,2.524,Non-Tertiary
603,n078t2,lh,sfs_p,0.260564625,2.52,Non-Tertiary
631,n078t2,rh,sprs,0.288205266,2.663,Non-Tertiary
659,n078t2,lh,sprs,0.212143719,2.516,Non-Tertiary
16,n083t2,rh,central,0.220563382,2.11,Non-Tertiary
44,n083t2,lh,central,0.242872044,2.09,Non-Tertiary
72,n083t2,rh,ifs,0.192034647,2.021,Non-Tertiary
100,n083t2,lh,ifs,0.207526788,2.188,Non-Tertiary
128,n083t2,rh,imfs_h,0.167532817,1.861,Non-Tertiary
156,n083t2,lh,imfs_h,0.224370643,1.996,Non-Tertiary
184,n083t2,rh,imfs_v,0.258229166,1.585,Non-Tertiary
212,n083t2,lh,imfs_v,0.173222661,1.89,Non-Tertiary
240,n083t2,rh,iprs,0.219757557,2.537,Non-Tertiary
268,n083t2,lh,iprs,0.268093467,2.653,Non-Tertiary
296,n083t2,rh,pimfs,-0.048782643,1.863,Tertiary
324,n083t2,lh,pimfs,-0.071789697,2.144,Tertiary
352,n083t2,rh,pmfs_a,0.38828814,2.095,Tertiary
380,n083t2,lh,pmfs_a,0.13642168,2.178,Tertiary
408,n083t2,rh,pmfs_i,0.002448127,2.174,Tertiary
436,n083t2,lh,pmfs_i,0.13755013,1.916,Tertiary
464,n083t2,rh,pmfs_p,0.198748156,2.706,Tertiary
492,n083t2,lh,pmfs_p,0.095665842,2.03,Tertiary
520,n083t2,rh,sfs_a,0.105639838,2.089,Non-Tertiary
548,n083t2,lh,sfs_a,0.341562659,2.281,Non-Tertiary
576,n083t2,rh,sfs_p,0.285540372,2.265,Non-Tertiary
604,n083t2,lh,sfs_p,0.192948535,2.337,Non-Tertiary
632,n083t2,rh,sprs,0.18022126,2.61,Non-Tertiary
660,n083t2,lh,sprs,0.278057277,2.641,Non-Tertiary
17,n086t2,rh,central,0.222398743,1.843,Non-Tertiary
45,n086t2,lh,central,0.180970833,1.876,Non-Tertiary
73,n086t2,rh,ifs,0.19469066,2.096,Non-Tertiary
101,n086t2,lh,ifs,0.236040056,2.022,Non-Tertiary
129,n086t2,rh,imfs_h,0.225415066,1.905,Non-Tertiary
157,n086t2,lh,imfs_h,0.30263859,2.401,Non-Tertiary
185,n086t2,rh,imfs_v,0.147766769,1.901,Non-Tertiary
213,n086t2,lh,imfs_v,0.133829236,1.765,Non-Tertiary
241,n086t2,rh,iprs,0.348854274,2.439,Non-Tertiary
269,n086t2,lh,iprs,0.269207418,2.443,Non-Tertiary
297,n086t2,rh,pimfs,0.041841283,1.886,Tertiary
325,n086t2,lh,pimfs,0.009871206,2.23,Tertiary
353,n086t2,rh,pmfs_a,0.114783607,2.061,Tertiary
381,n086t2,lh,pmfs_a,0.023147283,2.007,Tertiary
409,n086t2,rh,pmfs_i,-0.050425749,2.049,Tertiary
437,n086t2,lh,pmfs_i,0.178754494,1.947,Tertiary
465,n086t2,rh,pmfs_p,0.12655133,2.365,Tertiary
493,n086t2,lh,pmfs_p,0.054749463,2.41,Tertiary
521,n086t2,rh,sfs_a,0.32910952,1.929,Non-Tertiary
549,n086t2,lh,sfs_a,0.20457758,2.351,Non-Tertiary
577,n086t2,rh,sfs_p,0.217900559,2.268,Non-Tertiary
605,n086t2,lh,sfs_p,0.234125778,2.351,Non-Tertiary
633,n086t2,rh,sprs,0.283996433,2.606,Non-Tertiary
661,n086t2,lh,sprs,0.333111078,2.564,Non-Tertiary
18,n098t2,rh,central,0.260906994,2.592,Non-Tertiary
46,n098t2,lh,central,0.231706187,2.539,Non-Tertiary
74,n098t2,rh,ifs,0.295265257,2.602,Non-Tertiary
102,n098t2,lh,ifs,0.26583612,2.567,Non-Tertiary
130,n098t2,rh,imfs_h,0.308245242,2.067,Non-Tertiary
158,n098t2,lh,imfs_h,0.126218572,2.259,Non-Tertiary
186,n098t2,rh,imfs_v,0.156491026,1.73,Non-Tertiary
214,n098t2,lh,imfs_v,0.38685587,2.387,Non-Tertiary
242,n098t2,rh,iprs,0.205031365,2.48,Non-Tertiary
270,n098t2,lh,iprs,0.289836377,2.866,Non-Tertiary
298,n098t2,rh,pimfs,0.046572145,2.061,Tertiary
326,n098t2,lh,pimfs,-0.095993996,2.739,Tertiary
354,n098t2,rh,pmfs_a,0.117427275,2.066,Tertiary
382,n098t2,lh,pmfs_a,-0.037734017,2.696,Tertiary
410,n098t2,rh,pmfs_i,-0.324294627,3.067,Tertiary
438,n098t2,lh,pmfs_i,-0.088739946,2.995,Tertiary
466,n098t2,rh,pmfs_p,-0.071799107,2.495,Tertiary
494,n098t2,lh,pmfs_p,0.100096114,2.482,Tertiary
522,n098t2,rh,sfs_a,0.236868501,2.333,Non-Tertiary
550,n098t2,lh,sfs_a,0.270658046,2.846,Non-Tertiary
578,n098t2,rh,sfs_p,0.250705481,2.563,Non-Tertiary
606,n098t2,lh,sfs_p,0.256460786,2.641,Non-Tertiary
634,n098t2,rh,sprs,0.284362018,2.374,Non-Tertiary
662,n098t2,lh,sprs,0.307636857,2.762,Non-Tertiary
19,n100t2,rh,central,0.225901455,1.911,Non-Tertiary
47,n100t2,lh,central,0.216795489,1.973,Non-Tertiary
75,n100t2,rh,ifs,0.147138566,2.364,Non-Tertiary
103,n100t2,lh,ifs,0.234282002,2.388,Non-Tertiary
131,n100t2,rh,imfs_h,0.146056771,1.961,Non-Tertiary
159,n100t2,lh,imfs_h,0.256985664,2.204,Non-Tertiary
187,n100t2,rh,imfs_v,0.210799709,2.031,Non-Tertiary
215,n100t2,lh,imfs_v,0.195617795,2.352,Non-Tertiary
243,n100t2,rh,iprs,0.233735979,2.607,Non-Tertiary
271,n100t2,lh,iprs,0.292577028,2.574,Non-Tertiary
299,n100t2,rh,pimfs,0.005641819,1.783,Tertiary
327,n100t2,lh,pimfs,0.009354468,2.365,Tertiary
355,n100t2,rh,pmfs_a,0.027496515,1.931,Tertiary
383,n100t2,lh,pmfs_a,0.02221626,2.17,Tertiary
411,n100t2,rh,pmfs_i,0.139683902,1.822,Tertiary
439,n100t2,lh,pmfs_i,-0.012998662,2.338,Tertiary
467,n100t2,rh,pmfs_p,0.051370356,2.009,Tertiary
495,n100t2,lh,pmfs_p,-0.271039635,3.191,Tertiary
523,n100t2,rh,sfs_a,0.338089973,2.22,Non-Tertiary
551,n100t2,lh,sfs_a,0.321846217,2.472,Non-Tertiary
579,n100t2,rh,sfs_p,0.251554489,2.491,Non-Tertiary
607,n100t2,lh,sfs_p,0.257451773,2.531,Non-Tertiary
635,n100t2,rh,sprs,0.277270496,2.328,Non-Tertiary
663,n100t2,lh,sprs,0.301119983,2.532,Non-Tertiary
20,n123t2,rh,central,0.203507572,1.939,Non-Tertiary
48,n123t2,lh,central,0.193365052,1.957,Non-Tertiary
76,n123t2,rh,ifs,0.268055946,2.055,Non-Tertiary
104,n123t2,lh,ifs,0.294053555,2.294,Non-Tertiary
132,n123t2,rh,imfs_h,0.210547581,1.643,Non-Tertiary
160,n123t2,lh,imfs_h,0.264041036,2.581,Non-Tertiary
188,n123t2,rh,imfs_v,0.12993516,1.689,Non-Tertiary
216,n123t2,lh,imfs_v,0.465744615,2.34,Non-Tertiary
244,n123t2,rh,iprs,0.136304542,2.485,Non-Tertiary
272,n123t2,lh,iprs,0.239133,2.664,Non-Tertiary
300,n123t2,rh,pimfs,-0.148926929,2.038,Tertiary
328,n123t2,lh,pimfs,0.016579242,2.094,Tertiary
356,n123t2,rh,pmfs_a,-0.07823088,1.636,Tertiary
384,n123t2,lh,pmfs_a,-0.081312902,2.146,Tertiary
412,n123t2,rh,pmfs_i,-0.056090225,1.936,Tertiary
440,n123t2,lh,pmfs_i,-0.086042948,2.005,Tertiary
468,n123t2,rh,pmfs_p,-0.170269549,2.16,Tertiary
496,n123t2,lh,pmfs_p,-0.062074248,2.601,Tertiary
524,n123t2,rh,sfs_a,0.131701604,2.052,Non-Tertiary
552,n123t2,lh,sfs_a,0.325382739,2.486,Non-Tertiary
580,n123t2,rh,sfs_p,0.242953047,2.29,Non-Tertiary
608,n123t2,lh,sfs_p,0.233918801,2.487,Non-Tertiary
636,n123t2,rh,sprs,0.32366848,2.444,Non-Tertiary
664,n123t2,lh,sprs,0.261954874,2.476,Non-Tertiary
21,n126t2,rh,central,0.189295977,2.014,Non-Tertiary
49,n126t2,lh,central,0.252282023,2.105,Non-Tertiary
77,n126t2,rh,ifs,0.344436586,2.227,Non-Tertiary
105,n126t2,lh,ifs,0.409965724,2.591,Non-Tertiary
133,n126t2,rh,imfs_h,0.245573103,2.045,Non-Tertiary
161,n126t2,lh,imfs_h,0.254635155,2.674,Non-Tertiary
189,n126t2,rh,imfs_v,0.175111756,1.634,Non-Tertiary
217,n126t2,lh,imfs_v,0.192468584,2.156,Non-Tertiary
245,n126t2,rh,iprs,0.24634622,2.324,Non-Tertiary
273,n126t2,lh,iprs,0.222068042,2.66,Non-Tertiary
301,n126t2,rh,pimfs,-0.020516355,1.906,Tertiary
329,n126t2,lh,pimfs,0.209713295,2.371,Tertiary
357,n126t2,rh,pmfs_a,0.195918903,2.198,Tertiary
385,n126t2,lh,pmfs_a,0.025012486,2.594,Tertiary
413,n126t2,rh,pmfs_i,-0.073555015,2.373,Tertiary
441,n126t2,lh,pmfs_i,0.00317029,2.666,Tertiary
469,n126t2,rh,pmfs_p,0.15136762,2.154,Tertiary
497,n126t2,lh,pmfs_p,0.051872753,2.498,Tertiary
525,n126t2,rh,sfs_a,0.167312935,2.387,Non-Tertiary
553,n126t2,lh,sfs_a,0.180018201,2.538,Non-Tertiary
581,n126t2,rh,sfs_p,0.108806886,2.293,Non-Tertiary
609,n126t2,lh,sfs_p,0.234511033,2.495,Non-Tertiary
637,n126t2,rh,sprs,0.250229001,2.27,Non-Tertiary
665,n126t2,lh,sprs,0.239801914,2.597,Non-Tertiary
22,n157t2,rh,central,0.216883719,1.894,Non-Tertiary
50,n157t2,lh,central,0.255053014,2.057,Non-Tertiary
78,n157t2,rh,ifs,0.3435449,2.02,Non-Tertiary
106,n157t2,lh,ifs,0.25956592,1.907,Non-Tertiary
134,n157t2,rh,imfs_h,0.103914909,1.758,Non-Tertiary
162,n157t2,lh,imfs_h,0.189882442,1.98,Non-Tertiary
190,n157t2,rh,imfs_v,-0.070073865,2.39,Non-Tertiary
218,n157t2,lh,imfs_v,0.212918505,1.46,Non-Tertiary
246,n157t2,rh,iprs,0.257630974,2.466,Non-Tertiary
274,n157t2,lh,iprs,0.301246852,2.346,Non-Tertiary
302,n157t2,rh,pimfs,0.231454358,2.005,Tertiary
330,n157t2,lh,pimfs,0.207355738,1.895,Tertiary
358,n157t2,rh,pmfs_a,0.032015543,2.055,Tertiary
386,n157t2,lh,pmfs_a,-0.104754306,1.783,Tertiary
414,n157t2,rh,pmfs_i,-0.065488502,2.904,Tertiary
442,n157t2,lh,pmfs_i,-0.010318148,2.023,Tertiary
470,n157t2,rh,pmfs_p,-0.190547109,2.229,Tertiary
498,n157t2,lh,pmfs_p,0.021487392,2.207,Tertiary
526,n157t2,rh,sfs_a,0.211126328,2.187,Non-Tertiary
554,n157t2,lh,sfs_a,0.325752586,2.069,Non-Tertiary
582,n157t2,rh,sfs_p,0.254348755,2.303,Non-Tertiary
610,n157t2,lh,sfs_p,0.242800355,2.278,Non-Tertiary
638,n157t2,rh,sprs,0.326582581,2.211,Non-Tertiary
666,n157t2,lh,sprs,0.257287234,2.202,Non-Tertiary
23,n160t2,rh,central,0.17278941,1.787,Non-Tertiary
51,n160t2,lh,central,0.215528265,1.895,Non-Tertiary
79,n160t2,rh,ifs,0.189840883,1.842,Non-Tertiary
107,n160t2,lh,ifs,0.204492539,2.036,Non-Tertiary
135,n160t2,rh,imfs_h,0.229908645,1.812,Non-Tertiary
163,n160t2,lh,imfs_h,0.209678173,2.388,Non-Tertiary
191,n160t2,rh,imfs_v,0.169995755,1.575,Non-Tertiary
219,n160t2,lh,imfs_v,0.20297581,2.125,Non-Tertiary
247,n160t2,rh,iprs,0.261103123,2.102,Non-Tertiary
275,n160t2,lh,iprs,0.28195852,2.416,Non-Tertiary
303,n160t2,rh,pimfs,0.171001926,1.875,Tertiary
331,n160t2,lh,pimfs,0.165692016,1.76,Tertiary
359,n160t2,rh,pmfs_a,-0.033695593,1.779,Tertiary
387,n160t2,lh,pmfs_a,-0.222626522,2.216,Tertiary
415,n160t2,rh,pmfs_i,-0.035130993,1.714,Tertiary
443,n160t2,lh,pmfs_i,0.037296481,2.25,Tertiary
471,n160t2,rh,pmfs_p,0.066433258,2.396,Tertiary
499,n160t2,lh,pmfs_p,-0.083071262,2.207,Tertiary
527,n160t2,rh,sfs_a,0.302353621,1.902,Non-Tertiary
555,n160t2,lh,sfs_a,0.372577578,2.625,Non-Tertiary
583,n160t2,rh,sfs_p,0.177299678,2.227,Non-Tertiary
611,n160t2,lh,sfs_p,0.132871106,2.321,Non-Tertiary
639,n160t2,rh,sprs,0.206685692,2.401,Non-Tertiary
667,n160t2,lh,sprs,0.259612292,2.356,Non-Tertiary
24,n161t2,rh,central,0.228705913,1.995,Non-Tertiary
52,n161t2,lh,central,0.25985834,1.917,Non-Tertiary
80,n161t2,rh,ifs,0.138944775,2,Non-Tertiary
108,n161t2,lh,ifs,0.183195516,1.972,Non-Tertiary
136,n161t2,rh,imfs_h,0.09810669,2.144,Non-Tertiary
164,n161t2,lh,imfs_h,0.206108421,2.225,Non-Tertiary
192,n161t2,rh,imfs_v,0.359101444,2.259,Non-Tertiary
220,n161t2,lh,imfs_v,0.223247737,1.873,Non-Tertiary
248,n161t2,rh,iprs,0.262684911,2.306,Non-Tertiary
276,n161t2,lh,iprs,0.289153576,2.467,Non-Tertiary
304,n161t2,rh,pimfs,0.279601783,1.714,Tertiary
332,n161t2,lh,pimfs,0.184276477,1.981,Tertiary
360,n161t2,rh,pmfs_a,0.061623227,1.827,Tertiary
388,n161t2,lh,pmfs_a,0.180848017,2.004,Tertiary
416,n161t2,rh,pmfs_i,0.117357515,1.587,Tertiary
444,n161t2,lh,pmfs_i,-0.246860504,2.57,Tertiary
472,n161t2,rh,pmfs_p,-0.38226068,2.713,Tertiary
500,n161t2,lh,pmfs_p,0.027196128,2.139,Tertiary
528,n161t2,rh,sfs_a,0.240253329,2.011,Non-Tertiary
556,n161t2,lh,sfs_a,0.171449229,2.09,Non-Tertiary
584,n161t2,rh,sfs_p,0.278973848,2.211,Non-Tertiary
612,n161t2,lh,sfs_p,0.318180829,2.366,Non-Tertiary
640,n161t2,rh,sprs,0.290875286,2.232,Non-Tertiary
668,n161t2,lh,sprs,0.345659643,2.218,Non-Tertiary
25,n164t2,rh,central,0.219053477,1.983,Non-Tertiary
53,n164t2,lh,central,0.200559631,1.97,Non-Tertiary
81,n164t2,rh,ifs,0.08823432,1.867,Non-Tertiary
109,n164t2,lh,ifs,0.087666765,2.306,Non-Tertiary
137,n164t2,rh,imfs_h,0.196886793,1.625,Non-Tertiary
165,n164t2,lh,imfs_h,0.290376008,2.03,Non-Tertiary
193,n164t2,rh,imfs_v,0.191944256,1.578,Non-Tertiary
221,n164t2,lh,imfs_v,0.078616872,2.168,Non-Tertiary
249,n164t2,rh,iprs,0.296652943,2.527,Non-Tertiary
277,n164t2,lh,iprs,0.262496501,2.436,Non-Tertiary
305,n164t2,rh,pimfs,0.027105974,1.829,Tertiary
333,n164t2,lh,pimfs,-0.124211267,2.327,Tertiary
361,n164t2,rh,pmfs_a,0.301496416,2.165,Tertiary
389,n164t2,lh,pmfs_a,0.186627641,2.184,Tertiary
417,n164t2,rh,pmfs_i,0.247055829,2.086,Tertiary
445,n164t2,lh,pmfs_i,0.184478298,2.324,Tertiary
473,n164t2,rh,pmfs_p,0.13272734,2.059,Tertiary
501,n164t2,lh,pmfs_p,-0.072323799,2.461,Tertiary
529,n164t2,rh,sfs_a,0.072673313,2.244,Non-Tertiary
557,n164t2,lh,sfs_a,0.161143363,2.203,Non-Tertiary
585,n164t2,rh,sfs_p,0.234246552,2.061,Non-Tertiary
613,n164t2,lh,sfs_p,0.192526922,2.459,Non-Tertiary
641,n164t2,rh,sprs,0.247116372,2.402,Non-Tertiary
669,n164t2,lh,sprs,0.291674405,2.414,Non-Tertiary
26,n178t2,rh,central,0.202850491,1.622,Non-Tertiary
54,n178t2,lh,central,0.187650934,1.781,Non-Tertiary
82,n178t2,rh,ifs,0.220407352,2.102,Non-Tertiary
110,n178t2,lh,ifs,0.22257629,2.279,Non-Tertiary
138,n178t2,rh,imfs_h,0.213479638,1.677,Non-Tertiary
166,n178t2,lh,imfs_h,0.340844512,2.351,Non-Tertiary
194,n178t2,rh,imfs_v,0.201383576,1.413,Non-Tertiary
222,n178t2,lh,imfs_v,0.069096811,2.318,Non-Tertiary
250,n178t2,rh,iprs,0.252774119,2.074,Non-Tertiary
278,n178t2,lh,iprs,0.288036972,2.674,Non-Tertiary
306,n178t2,rh,pimfs,0.062902503,1.682,Tertiary
334,n178t2,lh,pimfs,0.045958739,2.543,Tertiary
362,n178t2,rh,pmfs_a,-0.355234206,3.471,Tertiary
390,n178t2,lh,pmfs_a,-0.022186082,2.2,Tertiary
418,n178t2,rh,pmfs_i,-0.192429185,1.901,Tertiary
446,n178t2,lh,pmfs_i,-0.003418646,2.199,Tertiary
474,n178t2,rh,pmfs_p,0.010327592,1.754,Tertiary
502,n178t2,lh,pmfs_p,0.216822118,2.362,Tertiary
530,n178t2,rh,sfs_a,0.282186329,2.162,Non-Tertiary
558,n178t2,lh,sfs_a,0.280737191,2.336,Non-Tertiary
586,n178t2,rh,sfs_p,0.180547148,2.039,Non-Tertiary
614,n178t2,lh,sfs_p,0.208892584,2.302,Non-Tertiary
642,n178t2,rh,sprs,0.252567172,1.993,Non-Tertiary
670,n178t2,lh,sprs,0.197570264,2.182,Non-Tertiary
27,n184t1,rh,central,0.211388916,2.093,Non-Tertiary
55,n184t1,lh,central,0.187674195,2.135,Non-Tertiary
83,n184t1,rh,ifs,0.302484691,2.268,Non-Tertiary
111,n184t1,lh,ifs,0.2691333,2.318,Non-Tertiary
139,n184t1,rh,imfs_h,0.243218198,2.021,Non-Tertiary
167,n184t1,lh,imfs_h,0.226009265,2.26,Non-Tertiary
195,n184t1,rh,imfs_v,0.104360349,1.926,Non-Tertiary
223,n184t1,lh,imfs_v,0.254836172,2.174,Non-Tertiary
251,n184t1,rh,iprs,0.155631885,2.771,Non-Tertiary
279,n184t1,lh,iprs,0.246147826,2.73,Non-Tertiary
307,n184t1,rh,pimfs,-0.088081047,2.167,Tertiary
335,n184t1,lh,pimfs,-0.053120982,2.351,Tertiary
363,n184t1,rh,pmfs_a,-0.285445303,3.226,Tertiary
391,n184t1,lh,pmfs_a,-0.009118997,2.291,Tertiary
419,n184t1,rh,pmfs_i,-0.219772324,2.292,Tertiary
447,n184t1,lh,pmfs_i,-0.160691187,2.744,Tertiary
475,n184t1,rh,pmfs_p,0.033497572,2.4,Tertiary
503,n184t1,lh,pmfs_p,-0.234335482,2.923,Tertiary
531,n184t1,rh,sfs_a,0.257061005,2.441,Non-Tertiary
559,n184t1,lh,sfs_a,0.262460887,2.501,Non-Tertiary
587,n184t1,rh,sfs_p,0.27644062,2.656,Non-Tertiary
615,n184t1,lh,sfs_p,0.274709731,2.801,Non-Tertiary
643,n184t1,rh,sprs,0.192954674,2.512,Non-Tertiary
671,n184t1,lh,sprs,0.256023675,2.73,Non-Tertiary
28,n190t2,rh,central,0.212916404,2.027,Non-Tertiary
56,n190t2,lh,central,0.214038163,2.061,Non-Tertiary
84,n190t2,rh,ifs,0.224498644,2.272,Non-Tertiary
112,n190t2,lh,ifs,0.127848819,2.289,Non-Tertiary
140,n190t2,rh,imfs_h,0.215280592,1.894,Non-Tertiary
168,n190t2,lh,imfs_h,0.229263112,2.184,Non-Tertiary
196,n190t2,rh,imfs_v,0.066883713,1.715,Non-Tertiary
224,n190t2,lh,imfs_v,0.206976682,2.116,Non-Tertiary
252,n190t2,rh,iprs,0.221349254,2.752,Non-Tertiary
280,n190t2,lh,iprs,0.292968333,2.573,Non-Tertiary
308,n190t2,rh,pimfs,-0.029006362,1.739,Tertiary
336,n190t2,lh,pimfs,0.246356905,2.123,Tertiary
364,n190t2,rh,pmfs_a,0.262387007,2.298,Tertiary
392,n190t2,lh,pmfs_a,0.286455929,2.395,Tertiary
420,n190t2,rh,pmfs_i,0.25663954,2.224,Tertiary
448,n190t2,lh,pmfs_i,0.063165046,2.151,Tertiary
476,n190t2,rh,pmfs_p,0.207443342,2.567,Tertiary
504,n190t2,lh,pmfs_p,0.179976597,2.444,Tertiary
532,n190t2,rh,sfs_a,0.149531037,2.303,Non-Tertiary
560,n190t2,lh,sfs_a,0.238862216,2.417,Non-Tertiary
588,n190t2,rh,sfs_p,0.186543018,2.497,Non-Tertiary
616,n190t2,lh,sfs_p,0.329336375,2.564,Non-Tertiary
644,n190t2,rh,sprs,0.388891131,2.713,Non-Tertiary
672,n190t2,lh,sprs,0.251936316,2.688,Non-Tertiary